,co_ope,dt_base,vlr_base,dt_nasc,sexo,renda,renda_liq,dt_relac,co_cart,co_prof,cep
895,60,44613,2032.58,29112.0,0,2791.32,2791.32,39928.0,0,304,4303
896,58,44613,2568.08,29112.0,0,2791.32,2791.32,39928.0,0,304,4303
897,14,44857,3022.21,29112.0,0,2791.32,2791.32,39928.0,0,304,4303
898,58,44613,4083.13,31841.0,0,0.0,0.0,40437.0,0,304,6238
899,16,44857,3375.01,31841.0,0,0.0,0.0,40437.0,0,304,6238
900,58,44613,7615.3,15390.0,0,10317.1,7491.63,29121.0,0,276,22237
901,21,44857,589.62,20560.0,0,4392.69,2563.04,41680.0,0,130,17729
902,17,44857,1361.04,20560.0,0,4392.69,2563.04,41680.0,0,130,17729
903,58,44613,3990.86,29387.0,0,2500.0,2500.0,38301.0,0,48,5021
904,21,44914,9978.49,28442.0,0,13472.85,7896.69,39944.0,0,132,4988
905,6,44857,1485.82,34020.0,0,0.0,0.0,39509.0,0,282,24665
906,6,44857,20990.57,34020.0,0,0.0,0.0,39509.0,0,282,24665
907,58,44634,6761.32,33228.0,0,3451.82,3451.82,41812.0,0,199,22874
908,58,44613,544.6,30254.0,0,1240.68,1240.68,38234.0,0,374,5864
909,17,44857,662.97,32770.0,0,1200.0,1200.0,42890.0,0,76,11893
910,17,44857,284.49,16999.0,0,0.0,0.0,36838.0,0,476,3054
911,58,44613,659.91,28198.0,0,831.02,768.28,38315.0,0,151,4940
912,17,44843,1364.16,33478.0,0,0.0,0.0,41493.0,0,136,24568
913,56,44613,1730.74,21371.0,0,2680.0,2680.0,40665.0,0,132,4237
914,56,44894,1144.17,25846.0,0,2800.0,2350.0,37026.0,0,132,5506
915,60,44919,702.41,37804.0,0,1100.0,1100.0,44467.0,0,278,11569
916,56,44735,1873.06,32026.0,0,2220.91,2220.91,40728.0,0,35,12174
917,6,44857,7404.44,31473.0,0,4000.0,4000.0,39693.0,0,132,8192
918,17,44857,2207.54,23906.0,0,0.0,0.0,33631.0,0,277,118
919,56,44634,1185.66,31637.0,0,0.0,0.0,43628.0,0,240,12326
920,58,44613,1004.78,34196.0,0,3568.55,3568.55,41696.0,0,132,25048
921,6,44857,222.34,24496.0,0,1400.0,1400.0,35590.0,0,151,3166
922,6,44829,200.54,28611.0,0,2353.64,1778.79,40630.0,0,132,3670
923,58,44613,1428.28,33729.0,0,0.0,0.0,40779.0,0,246,25086
924,56,44894,2051.54,20574.0,0,5646.76,5646.76,37117.0,0,130,16262
925,14,44857,8396.74,23361.0,0,2338.8,2126.54,41601.0,0,191,131
926,17,44857,1400.09,23361.0,0,2338.8,2126.54,41601.0,0,191,131
927,6,44901,6453.96,19398.0,0,1264.0,932.0,41785.0,0,277,10224
928,6,44901,6956.92,19398.0,0,1264.0,932.0,41785.0,0,277,10224
929,17,44843,1341.38,31537.0,0,0.0,0.0,40992.0,0,240,8805
930,58,44773,630.31,28705.0,0,1280.5,1178.06,40779.0,0,163,13378
931,56,44634,1137.77,31897.0,0,0.0,0.0,39161.0,0,155,13378
932,5,44829,5690.35,32294.0,0,1300.0,1300.0,39187.0,0,240,14239
